FY18/19 - CONDOMINIUM COMPARABLE PROPERTIES as of 01/05/2018  prepared on 02/01/2018,,,,,,,,,,,,,,,COMPARABLE RENTAL - 1,,,,,,,,,,,,,,,COMPARABLE RENTAL - 2,,,,,,,,,,,,,,,COMPARABLE RENTAL - 3,,,,,,,,,,,,,,
Boro-Block-Lot,Condominium,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles
1-01179-7501,0411-R1,165 WEST END AVENUE,UPPER WEST SIDE (59-79),R9  -CONDOPS,403,1962,"421,100","15,723,874",37.34,"4,467,871",10.61,"11,256,003","90,381,000",214.63,1-01162-0005,267 WEST 70 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"25,266","943,432",37.34,"268,072",10.61,"675,360","4,828,000",191.09,0.17,1-01184-0025,312 WEST 73 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,16,1920,"14,025","520,468",37.11,"138,848",9.9,"381,620","3,516,000",250.7,0.23,1-01184-0006,309 WEST 72 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,18,1925,"6,980","271,801",38.94,"65,682",9.41,"206,119","2,403,000",344.27,0.23
1-01179-7502,0412-R1,185 WEST END AVENUE,UPPER WEST SIDE (59-79),R9  -CONDOPS,432,1962,"383,760","15,730,322",40.99,"5,234,486",13.64,"10,495,836","84,480,000",220.14,1-01162-0005,267 WEST 70 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"25,266","1,035,653",40.99,"344,628",13.64,"691,025","4,828,000",191.09,0.17,1-01184-0025,312 WEST 73 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,16,1920,"14,025","571,659",40.76,"181,343",12.93,"390,316","3,516,000",250.7,0.23,1-01184-0006,309 WEST 72 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,18,1925,"6,980","297,278",42.59,"86,831",12.44,"210,447","2,403,000",344.27,0.23
1-01179-7503,0413-R1,205 WEST END AVENUE,UPPER WEST SIDE (59-79),R9  -CONDOPS,543,1962,"566,824","22,638,951",39.94,"5,662,572",9.99,"16,976,379","136,642,000",241.07,1-01162-0005,267 WEST 70 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"25,266","1,009,124",39.94,"252,407",9.99,"756,717","4,828,000",191.09,0.17,1-01184-0025,312 WEST 73 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,16,1920,"14,025","557,073",39.72,"130,152",9.28,"426,921","3,516,000",250.7,0.23,1-01184-0006,309 WEST 72 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,18,1925,"6,980","290,019",41.55,"61,354",8.79,"228,665","2,403,000",344.27,0.23
1-01158-7503,0414-R1,150 WEST END AVENUE,UPPER WEST SIDE (59-79),R9  -CONDOPS,454,1963,"452,258","15,494,359",34.26,"6,055,735",13.39,"9,438,624","75,425,000",166.77,1-01140-0027,107 WEST 68 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"22,380","766,739",34.26,"299,668",13.39,"467,071","4,701,000",210.05,0.11,1-01162-0005,267 WEST 70 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"25,266","818,618",32.4,"214,256",8.48,"604,362","4,828,000",191.09,0.12,1-01139-0057,146 WEST 68 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,46,1926,"24,370","835,160",34.27,"346,541",14.22,"488,619","5,928,000",243.25,0.13
1-01243-7501,0415-R1,215 WEST 95 STREET,UPPER WEST SIDE (79-96),R4  -ELEVATOR,212,1986,"145,085","6,591,212",45.43,"2,698,581",18.6,"3,892,631","31,331,988",215.96,1-01241-0038,204 WEST 94 STREET,UPPER WEST SIDE (79-96),D1  -ELEVATOR,30,1910,"17,760","806,837",45.43,"330,336",18.6,"476,501","3,293,000",185.42,0.1,1-01241-0001,680 WEST END AVENUE,UPPER WEST SIDE (79-96),D3  -ELEVATOR,63,1917,"154,800","7,051,140",45.55,"2,523,240",16.3,"4,527,900","23,805,000",153.78,0.13,1-01253-0048,227 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D3  -ELEVATOR,39,1930,"48,178","2,180,536",45.26,"799,273",16.59,"1,381,263","7,760,000",161.07,0.2
1-01028-7501,0416-R1,235 WEST 56 STREET,MIDTOWN WEST,RR  -CONRENT,484,1987,"538,783","27,348,625",50.76,"8,685,182",16.12,"18,663,443","150,221,000",278.82,1-01046-0047,330 WEST 56 STREET,MIDTOWN WEST,D3  -ELEVATOR,276,1974,"229,973","11,673,429",50.76,"3,707,165",16.12,"7,966,264","56,472,000",245.56,0.13,1-01010-0046,134 WEST 58 STREET,MIDTOWN WEST,D7  -ELEVATOR,121,1930,"61,791","3,050,622",49.37,"1,017,080",16.46,"2,033,542","17,067,000",276.21,0.23,1-01028-0017,1752 BROADWAY,MIDTOWN WEST,D6  -ELEVATOR,406,1979,"311,689","15,886,788",50.97,"5,270,661",16.91,"10,616,127","90,262,000",289.59,0.09
1-01140-7502,0417-R1,2000 BROADWAY,UPPER WEST SIDE (59-79),R4  -ELEVATOR,160,1987,"239,435","11,049,925",46.15,"3,419,132",14.28,"7,630,793","61,420,002",256.52,1-01140-0027,107 WEST 68 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"22,380","1,074,464",48.01,"429,472",19.19,"644,992","4,701,000",210.05,0,1-01162-0005,267 WEST 70 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"25,266","1,166,026",46.15,"360,798",14.28,"805,228","4,828,000",191.09,0.15,1-01143-0027,115 WEST 71 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,38,1913,"36,364","1,668,744",45.89,"557,460",15.33,"1,111,284","7,878,000",216.64,0.16
1-01487-7502,0419-R1,530 EAST 76 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,209,1986,"317,169","17,745,606",55.95,"6,387,784",20.14,"11,357,822","91,417,994",288.23,1-01582-0031,544 EAST 86 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,32,1929,"74,396","4,162,456",55.95,"1,498,335",20.14,"2,664,121","19,501,000",262.12,0.51,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","11,486,455",61.49,"4,077,888",21.83,"7,408,567","43,011,000",230.25,0.54,1-01492-0036,920 PARK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,72,1962,"155,544","8,561,142",55.04,"2,826,234",18.17,"5,734,908","37,340,000",240.06,0.77
1-01309-7502,0420-R1,135 EAST 54 STREET,MIDTOWN CBD,R4  -ELEVATOR,145,1951,"132,205","6,385,502",48.3,"1,776,835",13.44,"4,608,667","37,094,986",280.59,1-01324-0042,214 EAST 51 STREET,MIDTOWN EAST,D1  -ELEVATOR,65,1927,"28,458","1,370,537",48.16,"381,053",13.39,"989,484","9,209,000",323.6,0.29,1-01347-0034,342 EAST 55 STREET,MIDTOWN EAST,D5  -ELEVATOR,26,1930,"13,000","633,750",48.75,"219,570",16.89,"414,180","3,250,000",250,0.35,1-01347-0007,315 EAST 54 STREET,MIDTOWN EAST,D3  -ELEVATOR,39,1955,"20,000","966,000",48.3,"268,800",13.44,"697,200","3,900,000",195,0.35
1-00576-7502,0421-R1,59 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,R4  -ELEVATOR,105,1931,"112,050","5,723,514",51.08,"1,584,387",14.14,"4,139,127","33,316,006",297.33,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","1,076,869",51.78,"323,393",15.55,"753,476","4,749,000",228.35,0.14,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,523,761",51.08,"698,629",14.14,"1,825,132","13,222,000",267.61,0.15,1-00609-0053,115 WEST 13 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,58,1910,"34,026","1,735,666",51.01,"524,000",15.4,"1,211,666","11,548,000",339.39,0.19
1-01516-7501,0422-R1,153 EAST 87 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,42,1928,"50,156","2,457,644",49,"1,063,307",21.2,"1,394,337","11,223,001",223.76,1-01517-0025,155 EAST 88 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,50,1976,"29,000","1,421,000",49,"614,800",21.2,"806,200","6,498,000",224.07,0.05,1-01517-0043,16O EAST 89 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,51,1938,"64,272","3,128,118",48.67,"1,122,832",17.47,"2,005,286","10,821,000",168.36,0.05,1-01519-0029,167 EAST 90 STREET,UPPER EAST SIDE (79-96),D1  -ELEVATOR,15,1915,"10,439","514,225",49.26,"207,110",19.84,"307,115","2,820,000",270.14,0.15
1-01433-7501,0423-R1,205 EAST 78 STREET,UPPER EAST SIDE (59-79),R9  -CONDOPS,218,1931,"233,483","9,965,054",42.68,"3,140,346",13.45,"6,824,708","54,932,000",235.27,1-01432-0030,258 EAST 78 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,20,1940,"10,250","424,863",41.45,"150,675",14.7,"274,188","2,867,000",279.71,0.05,1-01431-0016,231 EAST 76 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,90,1937,"82,065","3,502,534",42.68,"1,103,774",13.45,"2,398,760","17,153,000",209.02,0.1,1-01431-0038,216 EAST 77 STREET,UPPER EAST SIDE (59-79),D9  -ELEVATOR,20,1910,"9,945","449,315",45.18,"146,888",14.77,"302,427","2,625,000",263.95,0.1
1-01325-7502,0424-R1,230 EAST 52 STREET,MIDTOWN EAST,R4  -ELEVATOR,27,1900,"15,410","735,519",47.73,"145,933",9.47,"589,586","4,745,996",307.98,1-01324-0042,214 EAST 51 STREET,MIDTOWN EAST,D1  -ELEVATOR,65,1927,"28,458","1,365,415",47.98,"278,888",9.8,"1,086,527","9,209,000",323.6,0.05,1-01343-0005,307 EAST 50 STREET,MIDTOWN EAST,D3  -ELEVATOR,111,1962,"71,137","3,319,252",46.66,"686,472",9.65,"2,632,780","14,848,000",208.72,0.15,1-01342-0045,320 EAST 50 STREET,MIDTOWN EAST,D1  -ELEVATOR,36,1960,"23,442","1,118,887",47.73,"221,996",9.47,"896,891","5,857,000",249.85,0.17
1-00528-7501,0426-R1,63 DOWNING STREET,GREENWICH VILLAGE-WEST,R4  -ELEVATOR,32,1986,"35,225","1,728,139",49.06,"339,921",9.65,"1,388,218","11,173,999",317.22,1-00520-0051,37 KING STREET,SOHO,D9  -ELEVATOR,40,1937,"20,035","977,708",48.8,"235,612",11.76,"742,096","2,863,000",142.9,0.08,1-00506-0016,30 CHARLTON STREET,SOHO,D1  -ELEVATOR,86,1920,"44,256","2,235,371",50.51,"432,381",9.77,"1,802,990","13,099,000",295.98,0.18,1-00588-0009,26 GROVE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,43,1926,"22,392","1,098,552",49.06,"216,083",9.65,"882,469","6,830,000",305.02,0.21
1-01439-7501,0427-R1,304 EAST 65 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,127,1987,"149,981","7,577,040",50.52,"2,312,707",15.42,"5,264,333","42,372,004",282.52,1-01439-0042,320 EAST 65 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,71,1930,"58,325","2,958,244",50.72,"1,003,190",17.2,"1,955,054","16,292,000",279.33,0,1-01437-0017,341 EAST 62 STREET,UPPER EAST SIDE (59-79),D3  -ELEVATOR,17,1910,"11,900","601,188",50.52,"183,498",15.42,"417,690","3,593,000",301.93,0.1,1-01460-0039,420 EAST 66 STREET,UPPER EAST SIDE (59-79),D9  -ELEVATOR,40,1910,"19,370","940,414",48.55,"273,311",14.11,"667,103","6,731,000",347.5,0.15
1-01236-7501,0428-R1,250 WEST 89 STREET,UPPER WEST SIDE (79-96),R9  -CONDOPS,142,1986,"134,054","6,218,765",46.39,"1,882,118",14.04,"4,336,647","34,905,000",260.38,1-01239-0059,294 WEST 92 STREET,UPPER WEST SIDE (79-96),D1  -ELEVATOR,27,1920,"24,400","1,131,916",46.39,"342,576",14.04,"789,340","4,231,000",173.4,0.15,1-01248-0037,302 WEST 87 STREET,UPPER WEST SIDE (79-96),D3  -ELEVATOR,54,1914,"47,067","2,145,785",45.59,"606,223",12.88,"1,539,562","7,920,000",168.27,0.16,1-01248-0051,340 WEST 87 STREET,UPPER WEST SIDE (79-96),D3  -ELEVATOR,29,1925,"29,303","1,389,841",47.43,"448,336",15.3,"941,505","4,787,000",163.36,0.16
1-00189-7502,0430-R1,104 HUDSON STREET,TRIBECA,R4  -ELEVATOR,14,1921,"35,844","1,304,363",36.39,"282,809",7.89,"1,021,554","8,196,001",228.66,1-00504-0031,112 SULLIVAN STREET,SOHO,D1  -ELEVATOR,60,1920,"38,880","1,414,843",36.39,"306,763",7.89,"1,108,080","10,280,000",264.4,0.5,1-00504-0036,100 SULLIVAN STREET,SOHO,D1  -ELEVATOR,70,1920,"33,750","1,272,375",37.7,"210,600",6.24,"1,061,775","11,596,000",343.59,0.5,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1  -ELEVATOR,35,1910,"11,967","431,291",36.04,"92,026",7.69,"339,265","2,504,000",209.24,0.61
1-01143-7502,0431-R1,155 WEST 71 STREET,UPPER WEST SIDE (59-79),R4  -ELEVATOR,55,1940,"43,578","2,017,226",46.29,"620,115",14.23,"1,397,111","11,245,014",258.04,1-01143-0027,115 WEST 71 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,38,1913,"36,364","1,684,017",46.31,"474,550",13.05,"1,209,467","7,878,000",216.64,0,1-01143-0020,133 WEST 71 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,36,1928,"30,712","1,415,209",46.08,"359,945",11.72,"1,055,264","7,329,000",238.64,0,1-01146-0017,129 WEST 74 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,23,1910,"15,120","699,905",46.29,"215,158",14.23,"484,747","2,375,000",157.08,0.16
1-00793-7502,0432-R1,120 WEST 18 STREET,CHELSEA,R4  -ELEVATOR,9,1907,"19,713","948,590",48.12,"241,090",12.23,"707,500","5,695,001",288.9,1-00792-0008,151 WEST 16 STREET,CHELSEA,D3  -ELEVATOR,76,1962,"43,770","2,036,180",46.52,"522,614",11.94,"1,513,566","12,474,000",284.99,0.04,1-00792-0012,141 WEST 16 STREET,CHELSEA,D1  -ELEVATOR,48,1940,"34,662","1,796,531",51.83,"403,119",11.63,"1,393,412","8,025,000",231.52,0.04,1-00791-0050,114 WEST 16 STREET,CHELSEA,D1  -ELEVATOR,41,1939,"32,736","1,575,256",48.12,"400,361",12.23,"1,174,895","5,727,000",174.95,0.09
1-01833-7501,0433-R1,382 CENTRAL PARK WEST,MANHATTAN VALLEY,R4  -ELEVATOR,414,1961,"390,628","10,363,361",26.53,"4,910,194",12.57,"5,453,167","42,489,999",108.77,1-01852-0012,107 WEST 97 STREET,UPPER WEST SIDE (96-116),D3  -ELEVATOR,287,1950,"257,760","6,871,882",26.66,"3,392,122",13.16,"3,479,760","31,393,000",121.79,0.17,1-01852-0020,790 COLUMBUS AVENUE,UPPER WEST SIDE (96-116),D3  -ELEVATOR,287,1963,"257,760","6,810,019",26.42,"3,453,984",13.4,"3,356,035","31,682,000",122.91,0.17,1-01852-0031,120 WEST 100 STREET,UPPER WEST SIDE (96-116),D3  -ELEVATOR,287,1958,"257,760","6,838,373",26.53,"3,240,043",12.57,"3,598,330","34,036,000",132.05,0.17
1-01833-7502,0435-R1,372 CENTRAL PARK WEST,MANHATTAN VALLEY,R4  -ELEVATOR,413,1961,"390,628","10,484,456",26.84,"3,695,341",9.46,"6,789,115","52,981,994",135.63,1-01852-0012,107 WEST 97 STREET,UPPER WEST SIDE (96-116),D3  -ELEVATOR,287,1950,"257,760","6,951,787",26.97,"2,590,488",10.05,"4,361,299","31,393,000",121.79,0.17,1-01852-0020,790 COLUMBUS AVENUE,UPPER WEST SIDE (96-116),D3  -ELEVATOR,287,1963,"257,760","6,887,347",26.72,"2,649,773",10.28,"4,237,574","31,682,000",122.91,0.17,1-01852-0031,120 WEST 100 STREET,UPPER WEST SIDE (96-116),D3  -ELEVATOR,287,1958,"257,760","6,918,278",26.84,"2,438,410",9.46,"4,479,868","34,036,000",132.05,0.17
1-00888-7501,0436-R1,157 EAST 32 STREET,MURRAY HILL,R4  -ELEVATOR,79,1988,"71,011","3,553,390",50.04,"1,148,248",16.17,"2,405,142","19,358,998",272.62,1-00888-0031,153 EAST 32 STREET,MURRAY HILL,D5  -ELEVATOR,71,1920,"62,188","2,914,752",46.87,"817,772",13.15,"2,096,980","14,343,000",230.64,0,1-00889-0065,231 LEXINGTON AVENUE,MURRAY HILL,D1  -ELEVATOR,18,1920,"13,614","712,693",52.35,"219,866",16.15,"492,827","2,884,000",211.84,0.05,1-00887-0014,121 EAST 31 STREET,MURRAY HILL,D3  -ELEVATOR,96,1930,"58,321","2,918,383",50.04,"943,051",16.17,"1,975,332","14,252,000",244.37,0.1
1-00898-7501,0437-R1,305 2 AVENUE,GRAMERCY,R4  -ELEVATOR,127,1901,"174,042","9,657,591",55.49,"2,751,604",15.81,"6,905,987","55,586,010",319.38,1-00897-0071,206 EAST 17 STREET,GRAMERCY,D3  -ELEVATOR,27,1910,"15,416","869,925",56.43,"213,512",13.85,"656,413","6,428,000",416.97,0.05,1-00873-0027,133 EAST 17 STREET,GRAMERCY,D8  -ELEVATOR,21,1925,"9,015","500,242",55.49,"142,527",15.81,"357,715","3,614,000",400.89,0.12,1-00872-0050,140 EAST 17 STREET,GRAMERCY,D1  -ELEVATOR,44,1910,"29,796","1,603,323",53.81,"526,197",17.66,"1,077,126","7,260,000",243.66,0.13
1-01870-7502,0438-R1,2600 BROADWAY,UPPER WEST SIDE (96-116),R9  -CONDOPS,79,1911,"163,616","6,269,765",38.32,"2,362,615",14.44,"3,907,150","31,423,000",192.05,1-01205-0029,315 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,43,1911,"109,769","4,206,348",38.32,"1,585,064",14.44,"2,621,284","13,863,000",126.29,0.52,1-01199-0029,251 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,68,1925,"128,194","4,959,826",38.69,"1,738,311",13.56,"3,221,515","27,826,000",217.06,0.77,1-01990-0040,468 RIVERSIDE DRIVE,MORNINGSIDE HEIGHTS,D3  -ELEVATOR,38,1910,"67,518","2,482,637",36.77,"806,165",11.94,"1,676,472","10,865,000",160.92,0.97
1-00624-7503,0439-R1,302 WEST 12 STREET,GREENWICH VILLAGE-WEST,R4  -ELEVATOR,128,1910,"138,934","6,014,453",43.29,"2,134,026",15.36,"3,880,427","31,233,000",224.8,1-00624-0031,8 8 AVENUE,GREENWICH VILLAGE-WEST,D9  -ELEVATOR,42,1930,"35,136","1,521,037",43.29,"539,689",15.36,"981,348","7,629,000",217.13,0,1-00624-0044,290 WEST 12 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,44,1965,"26,694","1,233,797",46.22,"375,318",14.06,"858,479","3,755,000",140.67,0,1-00622-0056,53 PERRY STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,72,1930,"34,140","1,399,399",40.99,"488,202",14.3,"911,197","11,105,000",325.28,0.1
1-01566-7501,0440-R1,455 EAST 86 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,148,1986,"167,332","8,267,874",49.41,"2,513,327",15.02,"5,754,547","46,317,997",276.8,1-01567-0031,440 EAST 88 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,35,1929,"27,847","1,334,150",47.91,"441,932",15.87,"892,218","5,944,000",213.45,0.05,1-01567-0035,432 EAST 88 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,45,1973,"24,572","1,234,743",50.25,"439,102",17.87,"795,641","6,943,000",282.56,0.05,1-01567-0044,404 EAST 88 STREET,UPPER EAST SIDE (79-96),D1  -ELEVATOR,49,1930,"21,078","1,041,464",49.41,"316,592",15.02,"724,872","7,577,000",359.47,0.05
1-01630-7501,0441-R1,169 EAST 102 STREET,HARLEM-EAST,R2  -WALK-UP,17,1920,"9,590","221,241",23.07,"126,013",13.14,"95,228","725,998",75.7,1-01630-0029,171 EAST 102 STREET,HARLEM-EAST,C4  -WALK-UP,13,1890,"9,590","198,225",20.67,"137,617",14.35,"60,608","1,480,000",154.33,0,1-01628-0048,180 EAST 101 STREET,HARLEM-EAST,C4  -WALK-UP,16,1920,"9,700","241,433",24.89,"122,317",12.61,"119,116","1,684,000",173.61,0.1,1-01627-0029,165 EAST 99 STREET,HARLEM-EAST,C1  -WALK-UP,20,1910,"8,925","205,900",23.07,"117,275",13.14,"88,625","1,591,000",178.26,0.15
1-01630-7501,0441-R2,173 EAST 102 STREET,HARLEM-EAST,R2  -WALK-UP,17,1920,"9,590","227,283",23.7,"125,054",13.04,"102,229","783,000",81.65,1-01629-0027,173 EAST 101 STREET,HARLEM-EAST,C1  -WALK-UP,30,1922,"17,065","470,653",27.58,"212,118",12.43,"258,535","2,859,000",167.54,0.05,1-01627-0030,167 EAST 99 STREET,HARLEM-EAST,C1  -WALK-UP,19,1910,"8,925","176,894",19.82,"73,542",8.24,"103,352","1,502,000",168.29,0.15, , , , , , , , , , , , , , , 
1-00721-7501,0443-R1,465 WEST 23 STREET,CHELSEA,R9  -CONDOPS,713,1920,"616,965","28,312,524",45.89,"8,686,867",14.08,"19,625,657","157,966,001",256.04,1-00722-0048,412 WEST 25 STREET,CHELSEA,D1  -ELEVATOR,35,1910,"19,500","894,855",45.89,"274,560",14.08,"620,295","5,736,000",294.15,0.05,1-00722-0026,415 WEST 24 STREET,CHELSEA,D1  -ELEVATOR,65,1926,"42,204","1,883,565",44.63,"315,264",7.47,"1,568,301","9,955,000",235.88,0.05,1-00719-0020,433 WEST 21 STREET,CHELSEA,D1  -ELEVATOR,69,1930,"63,956","3,083,958",48.22,"642,758",10.05,"2,441,200","14,716,000",230.1,0.1
1-01496-7501,0444-R1,30 EAST 85 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,92,1987,"152,249","8,031,135",52.75,"2,419,237",15.89,"5,611,898","45,170,005",296.69,1-01517-0001,1085 PARK AVENUE,UPPER EAST SIDE (79-96),D6  -ELEVATOR,46,1926,"127,395","6,720,086",52.75,"2,024,307",15.89,"4,695,779","42,329,000",332.27,0.28,1-01492-0036,920 PARK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,72,1962,"155,544","8,015,182",51.53,"2,544,700",16.36,"5,470,482","37,340,000",240.06,0.22,1-01502-0052,46 EAST 91 STREET,UPPER EAST SIDE (79-96),D6  -ELEVATOR,28,1930,"46,718","2,668,999",57.13,"907,731",19.43,"1,761,268","16,352,000",350.01,0.32
1-00616-7501,0445-R1,2 HORATIO STREET,GREENWICH VILLAGE-WEST,R9  -CONDOPS,241,1931,"209,011","9,516,271",45.53,"3,059,921",14.64,"6,456,350","51,967,000",248.63,1-00615-0091,259 WEST 12 STREET,GREENWICH VILLAGE-WEST,D3  -ELEVATOR,26,1900,"14,596","693,748",47.53,"284,330",19.48,"409,418","4,256,000",291.59,0.04,1-00629-0044,305 WEST 13 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,77,1964,"56,508","2,572,809",45.53,"827,277",14.64,"1,745,532","18,614,000",329.4,0.11,1-00629-0051,319 WEST 13 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,19,1925,"8,885","367,484",41.36,"107,153",12.06,"260,331","2,740,000",308.38,0.11
1-00558-7502,0446-R1,115 4 AVENUE,GREENWICH VILLAGE-CENTRAL,R4  -ELEVATOR,70,1905,"90,082","3,504,190",38.9,"1,156,653",12.84,"2,347,537","18,897,001",209.78,1-00558-0044,115 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,69,1900,"41,750","1,599,025",38.3,"657,563",15.75,"941,462","13,110,000",314.01,0,1-00453-0011,304 EAST 12 STREET,EAST VILLAGE,D1  -ELEVATOR,89,1940,"101,800","3,965,110",38.95,"1,284,716",12.62,"2,680,394","16,935,000",166.36,0.27,1-00452-0002,162 2 AVENUE,EAST VILLAGE,D9  -ELEVATOR,162,1929,"121,503","4,726,467",38.9,"1,692,537",13.93,"3,033,930","31,957,000",263.01,0.28
1-00618-7501,0447-R1,222 WEST 14 STREET,GREENWICH VILLAGE-WEST,R4  -ELEVATOR,132,1987,"101,634","6,062,468",59.65,"1,567,196",15.42,"4,495,272","36,182,002",356,1-00615-0091,259 WEST 12 STREET,GREENWICH VILLAGE-WEST,D3  -ELEVATOR,26,1900,"14,596","899,843",61.65,"295,861",20.27,"603,982","4,256,000",291.59,0.1,1-00629-0044,305 WEST 13 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,77,1964,"56,508","3,370,702",59.65,"871,353",15.42,"2,499,349","18,614,000",329.4,0.16,1-00609-0053,115 WEST 13 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,58,1910,"34,026","1,983,376",58.29,"569,936",16.75,"1,413,440","11,548,000",339.39,0.16
1-02179-7501,0448-R1,255 CABRINI BOULEVARD,WASHINGTON HEIGHTS UPPER,R4  -ELEVATOR,79,1937,"101,844","2,614,335",25.67,"1,051,030",10.32,"1,563,305","12,123,997",119.04,1-02179-0354,615 FT WASHINGTON AVENUE,WASHINGTON HEIGHTS UPPER,D1  -ELEVATOR,47,1930,"39,852","1,069,628",26.84,"409,679",10.28,"659,949","6,797,000",170.56,0,1-02180-0435,680 FT WASHINGTON AVENUE,WASHINGTON HEIGHTS UPPER,D1  -ELEVATOR,86,1941,"90,198","2,272,088",25.19,"770,291",8.54,"1,501,797","11,575,000",128.33,0.05,1-02180-0406,660 FT WASHINGTON AVENUE,WASHINGTON HEIGHTS UPPER,D1  -ELEVATOR,60,1920,"68,108","1,748,332",25.67,"702,875",10.32,"1,045,457","7,339,000",107.76,0.05
1-00870-7501,0449-R1,10 UNION SQUARE EAST,GRAMERCY,R4  -ELEVATOR,645,1987,"575,077","31,462,463",54.71,"6,826,164",11.87,"24,636,299","198,296,024",344.82,1-00872-0069,112 EAST 17 STREET,GRAMERCY,D1  -ELEVATOR,12,1910,"21,335","1,174,278",55.04,"234,472",10.99,"939,806","3,424,000",160.49,0.09,1-00872-0050,140 EAST 17 STREET,GRAMERCY,D1  -ELEVATOR,44,1910,"29,796","1,580,082",53.03,"408,801",13.72,"1,171,281","7,260,000",243.66,0.12,1-00873-0027,133 EAST 17 STREET,GRAMERCY,D8  -ELEVATOR,21,1925,"9,015","493,211",54.71,"107,008",11.87,"386,203","3,614,000",400.89,0.16
