FY18/19 - CONDOMINIUM COMPARABLE PROPERTIES as of 01/05/2018  prepared on 02/01/2018,,,,,,,,,,,,,,,COMPARABLE RENTAL - 1,,,,,,,,,,,,,,,COMPARABLE RENTAL - 2,,,,,,,,,,,,,,,COMPARABLE RENTAL - 3,,,,,,,,,,,,,,
Boro-Block-Lot,Condominium,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles
1-00868-7501,0019-R1,35 EAST 38 STREET,MURRAY HILL,R4  -ELEVATOR,113,1961,"88,230","4,360,327",49.42,"1,071,995",12.15,"3,288,332","26,467,994",299.99,1-00892-0049,156 EAST 37 STREET,MURRAY HILL,D3  -ELEVATOR,39,1924,"41,306","1,971,948",47.74,"472,541",11.44,"1,499,407","7,546,000",182.69,0.22,1-00862-0009,9 EAST 32 STREET,MURRAY HILL,D3  -ELEVATOR,77,1930,"39,740","1,963,951",49.42,"482,841",12.15,"1,481,110","14,395,000",362.23,0.32,1-00918-0010,213 EAST 37 STREET,MURRAY HILL,D3  -ELEVATOR,34,1925,"20,269","1,009,396",49.8,"281,739",13.9,"727,657","7,083,000",349.45,0.32
1-00065-7501,0021-R1,65 NASSAU STREET,FINANCIAL,R9  -CONDOPS,29,1920,"28,550","1,263,909",44.27,"260,947",9.14,"1,002,962","8,073,000",282.77,1-00276-0022,53 MARKET STREET,LOWER EAST SIDE,C1  -WALK-UP,15,1921,"10,345","503,595",48.68,"116,692",11.28,"386,903","886,000",85.65,0.72,1-00276-0010,21 MONROE STREET,LOWER EAST SIDE,C1  -WALK-UP,20,1900,"9,575","423,885",44.27,"87,516",9.14,"336,369","823,000",85.95,0.72,1-00280-0011,43 HENRY STREET,CHINATOWN,C4  -WALK-UP,18,1900,"9,440","409,318",43.36,"70,989",7.52,"338,329","872,000",92.37,0.73
1-01390-7501,0023-R1,30 EAST 76 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,15,1928,"24,277","1,346,160",55.45,"320,699",13.21,"1,025,461","8,253,999",339.99,1-01492-0036,920 PARK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,72,1962,"155,544","8,435,151",54.23,"2,127,842",13.68,"6,307,309","37,340,000",240.06,0.26,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","11,337,013",60.69,"3,239,147",17.34,"8,097,866","43,011,000",230.25,0.19,1-01517-0001,1085 PARK AVENUE,UPPER EAST SIDE (79-96),D6  -ELEVATOR,46,1926,"127,395","7,064,053",55.45,"1,682,888",13.21,"5,381,165","42,329,000",332.27,0.67
1-00135-7501,0025-R1,261 BROADWAY,CIVIC CENTER,R9  -CONDOPS,65,1906,"101,974","4,601,067",45.12,"1,258,359",12.34,"3,342,708","26,905,000",263.84,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1  -ELEVATOR,35,1910,"11,967","537,797",44.94,"172,803",14.44,"364,994","2,504,000",209.24,0.69,1-00479-0033,147 ELIZABETH STREET,LITTLE ITALY,D9  -ELEVATOR,22,1900,"9,293","446,343",48.03,"135,957",14.63,"310,386","1,438,000",154.74,0.74,1-00274-0014,75 MONROE STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,1900,"10,785","486,619",45.12,"133,087",12.34,"353,532","2,279,000",211.31,0.74
1-01491-7501,0026-R1,900 PARK AVENUE,UPPER EAST SIDE (79-96),R4  -ELEVATOR,126,1973,"199,534","9,577,632",48,"2,659,788",13.33,"6,917,844","55,688,002",279.09,1-01492-0036,920 PARK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,72,1962,"155,544","7,242,129",46.56,"2,146,507",13.8,"5,095,622","37,340,000",240.06,0.05,1-01517-0001,1085 PARK AVENUE,UPPER EAST SIDE (79-96),D6  -ELEVATOR,46,1926,"127,395","6,085,659",47.77,"1,698,175",13.33,"4,387,484","42,329,000",332.27,0.47,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","9,902,374",53.01,"3,261,563",17.46,"6,640,811","43,011,000",230.25,0.28
1-00571-7501,0027-R1,7 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,R9  -CONDOPS,39,1928,"42,384","1,608,049",37.94,"461,986",10.9,"1,146,063","9,210,000",217.3,1-00563-0043,63 EAST 11 STREET,GREENWICH VILLAGE-CENTRAL,D3  -ELEVATOR,42,1970,"23,353","884,845",37.89,"208,075",8.91,"676,770","6,807,000",291.48,0.14,1-00558-0018,122 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D3  -ELEVATOR,16,1900,"10,225","388,346",37.98,"131,800",12.89,"256,546","2,445,000",239.12,0.27, , , , , , , , , , , , , , , 
1-01505-7501,0028-R1,55 EAST 93 STREET,UPPER EAST SIDE (79-96),R4  -ELEVATOR,29,1980,"23,232","998,744",42.99,"240,916",10.37,"757,828","6,099,995",262.57,1-01521-0059,130 EAST 93 STREET,UPPER EAST SIDE (79-96),D1  -ELEVATOR,27,1925,"20,375","875,921",42.99,"211,289",10.37,"664,632","4,428,000",217.33,0.11,1-01521-0007,115 EAST 92 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,54,1927,"65,692","2,822,785",42.97,"852,025",12.97,"1,970,760","15,727,000",239.41,0.11,1-01520-0033,169 EAST 91 STREET,UPPER EAST SIDE (79-96),D1  -ELEVATOR,53,1985,"33,443","1,444,403",43.19,"542,111",16.21,"902,292","9,041,000",270.34,0.14
1-01245-7501,0029-R1,309 WEST 83 STREET,UPPER WEST SIDE (79-96),R9  -CONDOPS,17,1920,"25,216","1,107,235",43.91,"275,863",10.94,"831,372","6,692,000",265.39,1-01245-0075,495 WEST END AVENUE,UPPER WEST SIDE (79-96),D3  -ELEVATOR,128,1907,"83,154","3,441,744",41.39,"1,115,927",13.42,"2,325,817","12,731,000",153.1,0,1-01246-0044,328 WEST 85 STREET,UPPER WEST SIDE (79-96),D2  -ELEVATOR,48,1920,"24,544","1,077,727",43.91,"268,511",10.94,"809,216","8,338,000",339.72,0.05,1-01246-0057,127 RIVERSIDE DRIVE,UPPER WEST SIDE (79-96),D1  -ELEVATOR,23,1910,"17,325","781,358",45.1,"238,565",13.77,"542,793","3,287,000",189.73,0.05
1-01310-7501,0030-R1,141 EAST 55 STREET,MIDTOWN CBD,R4  -ELEVATOR,87,1956,"70,773","3,160,014",44.65,"787,703",11.13,"2,372,311","19,095,005",269.81,1-01347-0034,342 EAST 55 STREET,MIDTOWN EAST,D5  -ELEVATOR,26,1930,"13,000","586,300",45.1,"189,670",14.59,"396,630","3,250,000",250,0.26,1-01347-0007,315 EAST 54 STREET,MIDTOWN EAST,D3  -ELEVATOR,39,1955,"20,000","893,000",44.65,"222,600",11.13,"670,400","3,900,000",195,0.26,1-01324-0042,214 EAST 51 STREET,MIDTOWN EAST,D1  -ELEVATOR,65,1927,"28,458","1,266,666",44.51,"315,599",11.09,"951,067","9,209,000",323.6,0.27
1-01141-7501,0031-R1,104 WEST 70 STREET,UPPER WEST SIDE (59-79),R4  -ELEVATOR,84,1903,"95,930","4,958,622",51.69,"1,372,758",14.31,"3,585,864","28,861,999",300.87,1-01143-0027,115 WEST 71 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,38,1913,"36,364","1,879,655",51.69,"520,369",14.31,"1,359,286","7,878,000",216.64,0.1,1-01143-0020,133 WEST 71 STREET,UPPER WEST SIDE (59-79),D3  -ELEVATOR,36,1928,"30,712","1,580,440",51.46,"398,642",12.98,"1,181,798","7,329,000",238.64,0.1,1-01140-0027,107 WEST 68 STREET,UPPER WEST SIDE (59-79),D1  -ELEVATOR,30,1930,"22,380","1,204,268",53.81,"406,645",18.17,"797,623","4,701,000",210.05,0.1
